Title,Seasons,Episodes,Country,Premiere Year,Final Year,Original Channel,Channel2,Channel3,Channel4,Channel5,
Albert the Fifth Musketeer,1,26,"Canada, France",1993,1993,Canal+,CBBC,,,,
Albie,2,26,Britain,2001,2001,CITV,,,,,
Alejo & Valentina,4,53,Argentina,2002,2002,MTV Latin America,,,,,
Alejo & Valentina,4,53,Argentina,2005,2005,MTV Latin America,,,,,
Alejo y Valentina,,53,Argentina,2006,2010,MTV,,,,,
ALF Tales,2,21,US,1988,1989,NBC,,,,,
ALF: The Animated Series,2,26,US,1987,1989,NBC,,,,,
Alfred J. Kwak,1,52,"Netherlands, Germany, Japan",1989,1991,TV Tokyo,,,,,
Alice & Lewis,1,52,France,2020,Present,TF1,,,,,
Alice-Miranda,1,26,"Australia, Germany",2016,2016,9Go! Kids,,,,,
Alice's Wonderland Bakery,1,18,United States,2022,Present,Disney Junior,,,,,
Alien News Desk,,12,United States,2019,2019,Syfy,,,,,
Alien Racers,1,26,"Canada, United States",2005,2005,Fox,,,,,
Alien TV,2,26,"Australia, Canada",2020,2021,Netflix,9Go!,,,,
Alienators: Evolution Continues,1,26,United States,2001,2002,Fox Kids,,,,,
Alisa Knows What to Do!,1,24,Russia,2013,2016,STS,Karusel,,,,
All Dogs Go to Heaven: The Series,3,40,US,1996,1998,Fox Family Channel,Syndication,,,,
All Grown Up!,5,55,United States,2003,2008,Nickelodeon,,,,,
All Hail King Julien,,78,United States,2014,2017,Netflix,,,,,
All-New Dennis the Menace,1,13,US,1993,1993,CBS,,,,,
Allen Gregory,,7,United States,2011,2011,Fox,,,,,
Allsorts,9,212,UK,1987,1990,ITV,BBC One,,,,
Alma's Way,1,18,"Canada, United States",2021,Present,PBS Kids,,,,,
Almost Naked Animals,3,52,Canada,2011,2013,YTV (Canada),Cartoon Network (United States),Disney XD,,,
Alphablocks,4,91,UK,2010,2013,CBeebies,,,,,
Alphablocks,4,91,UK,2021,2022,CBeebies,,,,,
Alva's World,1,TBA,Ireland,2021,2021,Netflix (United States),RTÉjr (Ireland),,,,
ALVINNN!!! and the Chipmunks,5,107,"United States, France",2015,Present,M6 (France),Nickelodeon (United States),Nicktoons (United Kingdom),,,
American Dad!,18,321,United States,2005,Present,Fox (2005–2014),TBS (2014–present),,,,
American Dragon: Jake Long,2,52,United States,2005,2007,Disney Channel,,,,,
Amphibia,3,58,United States,2019,2022,Disney Channel,,,,,
Anabel,2,23,Brazil,2005,2011,Nickelodeon Brazil (Season 1),TV Rá-Tim-Bum (Season 2),,,,
Anatole,1,26,Canada,1998,2000,CBS,,,,,
Angel's Friends,,104,Italy,2009,2010,Italia 1,,,,,
Angela Anaconda,3,65,"Canada, US",1999,2002,Fox Family Channel,,,,,
Angelina Ballerina,2,20,Britain,2001,2006,PBS Kids,,,,,
Angelina Ballerina: The Next Steps,,39,"Britain, United States",2009,2010,Milkshake!,PBS Kids,,,,
Angelmouse,1,26,UK,1999,2000,CBBC,CBeebies,Cartoonito,,,
Angelo Rules,,225,"Britain, France",2009,Present,France 3,,,,,
Angry Birds Blues,1,30,Finland,2017,2017,Toons.TV,,,,,
Angry Birds Slingshot Stories,2,40,Finland,2020,Present,YouTube,,,,,
Angry Birds Toons,3,104,Finland,2013,2016,ToonsTV,Discovey Kids (Latin American),,,,
Angry Birds: Summer Madness,3,36,"United Kingdom, United States, Canada, Finland",2022,Present,Netflix,,,,,
Angry Kid,4,66,UK,1999,2007,Channel 4,BBC Three,,,,
Animal Crackers,3,52,"Canada, France",1997,1997,Teletoon,,,,,
Animal Mechanicals,3,37,Canada,2007,2011,Kids' CBC,Discovery Kids,,,,
Animal Stories,4,52,US,1999,2002,LWT,,,,,
Animalia,,40,"Australia, Canada, United States",2007,2008,Network Ten,PBS Kids Go!,,,,
Animals,3,30,United States,2016,2018,HBO,,,,,
Animaniacs,5,99,US,1993,1998,Fox Kids,Kids' WB,,,,
Animaniacs (2020),2,26,United States,2020,Present,Hulu,,,,,
Animated Tales of the World,3,39,"Britain, United States",2001,2002,HBO,,,,,
Animism,2,26,Canada,2013,2014,APTN Kids,,,,,
Anna & Friends,1,78,France,2022,Present,France 5,,,,,
Anna's Tales,,52,Italy,2004,2004,Raisat Ragazzi,Rai 3,Rai Gulp,Rai Yoyo,,
Anne of Green Gables: The Animated Series,1,26,Canada,2001,2002,PBS Kids,,,,,
Annedroids,,52,Canada,2014,2017,Amazon Video,TVOKids,,,,
Annoying Orange,14,700,United States,2009,Present,YouTube,,,,,
Anthony Ant,1,27,US,1999,1999,HBO Family,YTV,,,,
Ape Escape,,18,United States,2009,2009,Nicktoons Network,,,,,
Apollo Gauntlet,1,6,United States,2017,2017,Adult Swim,,,,,
Apple & Onion,2,76,United States,2018,2021,Cartoon Network,,,,,
Aqua Teen Hunger Force,11,139,United States,2000,2015,Adult Swim,,,,,
Aquadonk Side Pieces,1,TBA,United States,2022,2022,YouTube,,,,,
Aquaman: King of Atlantis,1,3,United States,2021,2021,HBO Max,,,,,
Arcane,1,9,United States,2021,Present,Netflix,,,,,
Archer,,104,United States,2009,Present,FX,FXX,,,,
Archibald the Koala,1,52,Ireland,1998,2000,RTE,,,,,
Archibald's Next Big Thing,2,26,United States,2019,Present,Netflix (Next Big Thing),Peacock (Next Big Thing Is Here!),,,,
Archie's Weird Mysteries,1,40,"France, US",1999,2000,PAX,M6,,,,
Argai: The Prophecy,1,26,France,2000,2000,TFI,,,,,
Around the World in 80 Dreams,1,26,"US, France",1992,1992,Canal+,,,,,
Art with Mati and Dada,2,39,Italy,2010,2014,Rai 3,Rai Yoyo,,,,
Arthur,23,246,"Canada, US",1996,2022,PBS Kids,,,,,
As Aventuras de Fujiwara Manchester,1,13,Brazil,2017,2017,TV Cultura,,,,,
As Aventuras de Gui & Estopa,,65,Brazil,2009,2012,Cartoon Network,,,,,
As Told by Ginger,3,60,United States,2000,2006,Nickelodeon,,,,,
asdfmovie,,14,Britain,2008,Present,Newgrounds,YouTube,,,,
Ask Lara,,26,Spain,2010,2010,BBC Two,,,,,
Ask Lara,,,Spain,2011,2011,,,,,,
Ask the StoryBots,3,22,United States,2016,2016,Netflix,,,,,
Assy McGee,,20,United States,2006,2008,Adult Swim,,,,,
Astro Farm,5,53,UK,1992,1996,CITV,,,,,
Astroblast!,,52,United States,2014,2015,Sprout,,,,,
At Home with Olaf,1,20,United States,2020,2020,YouTube,,,,,
Atchoo!,,25,"Italy, Latin America",2018,2019,Rai Yoyo,Nat Geo Kids,,,,
Atomic Betty,3,79,"Canada, France",2004,2008,Teletoon,M6,Télétoon,,,
Atomic Puppet,1,26,"Canada, France",2016,2017,Teletoon,Disney XD,France 4,,,
Attack of the Killer Tomatoes,2,21,US,1990,1991,Fox Kids,,,,,
Auto-B-Good,2,63,United States,2005,2006,Syndication,,,,,
Avatar: The Last Airbender,3,61,United States,2005,2008,Nickelodeon,,,,,
Avenger Penguins,2,26,UK,1993,1994,CITV,,,,,
Avengers Assemble,5,126,United States,2013,2019,Disney XD,,,,,
Axe Cop,2,22,United States,2013,2015,Fox,FXX,,,,
B. Happy,1,4,US,1999,2003,Cartoon Network (Website),,,,,
B.O.T. and The Beasties,2,50,United Kingdom,2021,2022,CBebbies,,,,,
Ba Da Bean,1,52,Brazil,2021,Present,Discovery+,,,,,
Babar,6,78,Canada,1989,1991,CBC,HBO,,,,
Babar and the Adventures of Badou,3,65,"Canada, France",2010,2015,Treehouse TV,Discovery Kids,YTV (Canada),TF1 (France)Disn,ey Junior (France),
Babble Bop!,1,72,United States,2021,Present,Peacock,,,,,
Baby Blues,2,13,United States,2000,2002,The WB,Adult Swim,,,,
Baby Jake,1,52,United Kingdom,2011,2012,CBeebies,,,,,
Baby Looney Tunes,4,53,United States,2001,2006,Kids' WB,,,,,
Baby Shark’s Big Show!,1,33,"South Korea, United States",2020,Present,EBS Korea,Nickelodeon,,,,
Back at the Barnyard,2,52,United States,2007,2011,Nickelodeon,Nicktoons,,,,
Back to the Future,2,26,"France, US",1991,1993,CBS,,,,,
Bad Dog,2,40,"Canada, US",1998,1999,Teletoon,Fox Family Channel,,,,
Bada Talk,,12,"Denmark, Britain",2016,Present,Netflix,CBeebies,Nick Jr.,,,
Bali,1,52,"France, Belgium, Canada",2005,2006,France 5,,,,,
Ballmastrz 9009,2,20,United States,2018,2020,Adult Swim,,,,,
Balloon Barnyard,1,26,Australia,2017,2017,Disney Junior,,,,,
Ballybraddan,,20,Ireland,2009,2009,RTÉ2,,,,,
Bananas in Pyjamas (2011),3,156,Australia,2011,2013,ABC2,Discovery Kids (Latin America),Boing (Spain),,,
Bangers and Mash,1,25,UK,1989,1989,Children's ITV,,,,,
Banja,1,26,France,2007,2007,Canal+,,,,,
Barbapapa: One Big Happy Family!,1,52,France,2019,Present,TF1 (France),Nick Jr. (Worldwide),,,,
Barbie: Life in the Dreamhouse,,,United States,2012,2015,Netflix,YouTube,,,,
Barney,1,13,UK,1988,1989,BBC1,,,,,
Barnyard Commandos,1,13,US,1990,1990,Syndication,,,,,
Barry Tales,,40,United States,2013,Present,YouTube,,,,,
Bat Pat,2,104,"Italy, Spain",2015,2019,Rai Gulp (Italy),RTVE (Spain),,,,
Bat Pat,2,104,Italian,2016,Present,Rai Gulp,,,,,
Batman Beyond,3,52,US,1999,2001,Kids' WB,,,,,
Batman: The Animated Series,2,85,US,1992,1995,Fox Kids,,,,,
Batman: The Brave and the Bold,3,65,United States,2008,2011,Cartoon Network,,,,,
Battle for Dream Island,4,63,USA,2010,Present,YouTube,,,,,
Battle Kitty,1,9,United States,2022,2022,Netflix,,,,,
BattleTech: The Animated Series,1,13,US,1994,1994,Fox,,,,,
Batwheels,TBA,TBA,United States,2022,2022,Cartoonito / HBO Max,,,,,
Baymax!,1,6,United States,2022,Present,Disney+,,,,,
BB3B,1,13,Britain,2005,2005,CBBC,,,,,
"Be Cool, Scooby-Doo!",2,52,United States,2015,2018,Cartoon Network (episodes 1–20),"Boomerang (episodes 21–26, 42–52)",Boomerang SVOD (episodes 27–41),,,
Be-Be-Bears,8,208,Russia,2015,Present,Karusel,,,,,
Beached Az,,21,Australia,2009,2010,ABC,,,,,
Beast Machines: Transformers,2,26,"Canada, US",1999,2000,Fox Kids,YTV,,,,
Beast Wars: Transformers,3,52,"Canada, US",1996,1999,CBS,YTV,,,,
Beat Bugs,3,52,"Australia, Canada",2016,2018,7TWO,Netflix,,,,
Beavis and Butt-head,8,222,US,1993,1997,MTV,,,,,
Bee and PuppyCat,2,26,United States,2013,2020,YouTube,,,,,
Beethoven,1,24,US,1994,1995,CBS,,,,,
Beetlejuice,4,94,US,1989,1991,ABC,Fox Kids,,,,
Being Ian,3,63,Canada,2005,2008,YTV,,,,,
Belle and Sebastian,1,52,"Canada, France",2017,2019,Ici Radio-Canada Télé,M6 (TV channel),,,,
Ben & Holly's Little Kingdom,,52,Britain,2009,2012,Nick Jr,,,,,
Ben 10 (2005),4,52,United States,2005,2008,Cartoon Network,,,,,
Ben 10 (2016),4,178,United States,2017,2021,Cartoon Network,,,,,
Ben 10: Alien Force,3,46,United States,2008,2010,Cartoon Network,,,,,
Ben 10: Omniverse,8,80,United States,2012,2014,Cartoon Network,,,,,
Ben 10: Ultimate Alien,3,52,United States,2010,2012,Cartoon Network,,,,,
Bernard,,52,"France, South Korea, Spain",2004,2012,EBS,M6,BBC,,,
Berry Bees,,52,"Australia, India, Ireland, Italy, Singapore",2019,Present,9Go!,,,,,
Bert and Ernie's Great Adventures,2,52,"United States, Italian",2007,2011,PBS Kids,,,,,
Best & Bester,TBA,TBA,Canada,2022,2022,YTV,,,,,
Best Bugs Forever,1,52,France,2019,Present,Disney Channel (UK),France Télévisions,,,,
Best Ed,,26,Canada,2008,2009,Teletoon,,,,,
Best Furry Friends,,13,Australia,2019,Present,Boomerang Australia,9Go!,,,,
Betsy's Kindergarten Adventures,,26,United States,2008,2008,PBS Kids,,,,,
Between the Lions,10,130,United States,2000,2010,PBS Kids,,,,,
Beverly Hills Teens,1,65,US,1987,1987,Syndication,,,,,
Beware the Batman,1,26,United States,2013,2014,Cartoon Network,,,,,
Big Blue,1,20,Canada,2021,Present,CBC Kids (Canada),Nicktoons (United Kingdom),ABC ME (Australia),,,
Big Guy and Rusty the Boy Robot,2,26,US,1999,2001,Fox Kids,,,,,
Big Hero 6: The Series,3,56,United States,2017,2021,Disney XD,Disney Channel,,,,
Big Mouth,5,51,United States,2017,Present,Netflix,,,,,
Big Nate,1,8,United States,2022,Present,Paramount+,,,,,
Big Tree City,1,15,United Kingdom,2022,Present,Netflix,,,,,
Bigfoot Presents: Meteor and the Mighty Monster Trucks,,26,"Canada, United States",2006,2006,Discovery Kids,,,,,
Biker Mice from Mars,3,65,US,1993,1996,Syndication,,,,,
Biker Mice from Mars,,28,"Britain, United States",2006,2007,CITV,4Kids TV,,,,
Bill & Ted's Excellent Adventures,2,21,US,1990,1991,CBS,Fox Kids,,,,
Billy,1,52,France,1998,1999,France 3,,,,,
Billy Dilley's Super-Duper Subterranean Summer,,13,United States,2017,2017,Disney XD,,,,,
Billy the Cat,2,52,"Canada, France, Germany",1996,2001,Teletoon,,,,,
Bimble's Bucket,3,39,UK,1996,1998,CITV,,,,,
Bing,,104,Britain,2014,2019,CBeebies,,,,,
Binka,1,26,Britain,2001,2001,BBC Kids,,,,,
Bino and Fino,1,12,Nigeria,2010,Present,YouTube,,,,,
Bionic Max,1,52,France,2021,2021,Cartoon Network,,,,,
Bionic Six,2,65,US,1987,1987,USA Network,,,,,
Birdgirl,2,12,United States,2021,Present,Adult Swim,,,,,
Birdz,1,13,Canada,1998,1999,CBS,,,,,
Bitz & Bob,2,42,"Canada, Britain",2018,Present,CBeebies,Nat Geo Kids,,,,
Black Dynamite,2,20,United States,2012,2015,Adult Swim,,,,,
Black Panther,,6,United States,2011,2011,BET,,,,,
Blake and Mortimer,1,26,"Canada, France",1997,1998,Canal+,,,,,
Blaster's Universe,1,13,"Canada, US",1999,2000,CBS,Teletoon,,,,
Blaze and the Monster Machines,,52,"Canada, United States",2014,Present,Nick Jr.,,,,,
Blazing Dragons,2,26,"Canada, France",1996,1998,Teletoon,,,,,
Blazing Team: Masters of Yo Kwon Do,2,42,"China, United States",2015,2017,Discovery Family (United States),iQiyi (China),,,,
Bless the Harts,2,34,United States,2019,2021,Fox,,,,,
Blippi Wonders,1,28,United States,2021,Present,YouTube,,,,,
Block 13,3,45,Kuwait,2000,2002,Kuwait TV,,,,,
Blood of Zeus,1,8,United States,2020,Present,Netflix,,,,,
Bloody Bunny,1,1,Thailand,2016,2016,2Spot Studios,RIFF Animation Studio,,,,
Bloody Bunny (2007),,20,"Thailand, Japan",2007,2010,Channel [V] Thailand,,,,,
Blue's Clues,6,146,"US,UK",1996,2006,Nickelodeon,,,,,
Blue's Clues & You!,,20,"Canada, United States",2019,Present,Nickelodeon,Treehouse,,,,
Bluey,3,141,Australia,2018,Present,ABC Kids (Australia),Disney Junior (Worldwide),,,,
Bo on the Go!,,16,Canada,2007,2009,CBC Kids,,,,,
Bob & Doug,,15,Canada,2009,2011,Global,,,,,
Bob and Margaret,4,52,"Canada, UK",1998,2001,Global,Channel 4,,,,
Bob Morane,1,26,France,1998,1998,Canal +,,,,,
Bob the Builder,9,117,Ireland,1998,2004,RTE,,,,,
Bob the Builder (2015),3,130,United Kingdom,2015,2018,Channel 5 (United Kingdom),PBS Kids (United States),Family Jr. (Canada),,,
Bob the Builder (from Project: Build It),6,93,Britain,2005,2008,CBeebies (United Kingdom),Nick Jr. (United States),PBS Kids (United States),Discovery Kids (Latin American),,
"Bob the Builder: Ready, Steady, Build!",1,40,UK,2010,2011,CBeebies,PBS Kids,,,,
Bob's Burgers,12,218,United States,2011,Present,Fox,FXX,,,,
Bobby's World,7,81,US,1990,1998,Fox Kids,,,,,
Bobobobs,2,26,Spain,1988,1989,TV3,,,,,
BoBoiBoy,3,39,Malaysia,2011,2016,TV3,,,,,
BoBoiBoy Galaxy,2,30,Malaysia,2016,2018,TV3,,,,,
Bobtales,1,13,Australia,1997,1997,SBS,,,,,
Boj,,51,"Britain, Ireland",2014,2015,CBeebies,,,,,
BoJack Horseman,,77,United States,2014,2020,Netflix,,,,,
Bolts and Blip,1,26,"Canada, South Korea",2010,2011,Teletoon,,,,,
Bondi Band,1,52,"Italy, Spain",2011,2011,Disney XD,,,,,
Bonkers,4,65,US,1993,1994,CBS,The Disney Channel,Syndication,,,
Boo!,,65,Britain,2003,2005,Discovery Kids,,,,,
Book Hungry Bears,,104,"Britain, Canada",2018,2019,CBeebies,,,,,
Boon and Pimento,1,30,France,2020,2020,YouTube,,,,,
Boonie Bears,,200,China,2012,Present,CCTV,,,,,
Bordertown,1,13,United States,2016,2016,Fox,,,,,
Boris and Rufus,2,39,Brazil,2018,Present,Disney XD,,,,,
Bottersnikes and Gumbles,1,52,"Australia, Britain",2015,2016,Seven Network,CBBC,Netflix,,,
Bouli,3,114,France,1989,1991,Antenne 2,,,,,
Bounty Hamster,,26,Britain,2003,2004,,,,,,
Bounty Hunters,1,13,"Canada, United States",2013,2013,CMT,,,,,
Boy Girl Dog Cat Mouse Cheese,1,52,"France, Ireland, United States",2019,Present,CBBC,,,,,
Boyster,,40,"Britain, France",2014,2015,Disney XD,,,,,
Braceface,3,78,"Canada, China",2001,2005,Teletoon,,,,,
Brad Neely's Harg Nallin Sclopio Peepio,1,10,United States,2016,2016,Adult Swim,,,,,
Brady's Beasts,1,26,Canada,2005,2006,YTV (Canada),Télé-Québec (Québec),TF1 (France),,,
Brandy & Mr. Whiskers,2,39,United States,2004,2006,Disney Channel,,,,,
Bratz,2,40,United States,2005,2007,Cartoon Network,4Kids TV,,,,
Brave Bunnies,1,50,United Kingdom,2021,Present,Milkshake!,,,,,
Bravest Warriors,4,82,United States,2012,2018,YouTube,Teletoon,,,,
BraveStarr,1,65,US,1987,1988,USA Network,,,,,
Brawl of The Objects,,13,Canada,2013,2018,YouTube,,,,,
Breadwinners,,40,United States,2014,2016,Nickelodeon,,,,,
Brichos,,13,Brazil,2014,2016,TV Brasil,,,,,
Brickleberry,,36,United States,2012,2015,Comedy Central,,,,,
Bro'Town,,32,English (New Zealand),2004,2009,TV3,,,,,
Bromwell High,1,13,"Britain, Canada",2005,2005,Channel 4 (United Kingdom),Teletoon (Canada),,,,
Bruno and the Banana Bunch,,26,Canada,2007,2007,CBC Kids,,,,,
Bruno the Kid,1,36,US,1996,1997,Syndication,,,,,
Bubble Guppies,5,88,"Canada, United States",2011,2016,Nickelodeon,,,,,
Bubble Guppies,5,88,"Canada, United States",2019,Present,Nickelodeon,,,,,
Bubu and the Little Owls,,26,Brazil,2018,2021,Disney Junior,,,,,
Bucky O'Hare and the Toad Wars,1,13,US,1991,1991,Syndication,,,,,
Buddi,2,16,United States,2020,2020,Netflix,,,,,
Budgie the Little Helicopter,3,39,UK,1994,1996,Fox Kids,CITV,,,,
Bug Diaries,,20,United States,2019,2020,Amazon Prime Video,,,,,
Bugs 'n' Daffy,1,108,US,1995,1998,Kids' WB,,,,,
Bugs Bunny Builders,1,8,United States,2022,Present,Cartoonito / HBO Max,,,,,
Bugsbot Ignition,,26,South Korea,2019,Present,Tooniverse,,,,,
Builder Brothers' Dream Factory,TBA,TBA,Canada,2022,2022,Treehouse TV,,,,,
Bump,2,27,UK,1990,1994,Children's BBC,,,,,
Bump in the Night,2,26,US,1994,1995,ABC,,,,,
Bunnicula,3,104,United States,2016,2018,Boomerang,Cartoon Network,,,,
Bunny Maloney,,52,France,2009,2011,Canal+,,,,,
Bunsen Is a Beast,1,26,United States,2017,2018,Nickelodeon,,,,,
Bunty Billa Aur Babban,2,52,India,2022,Present,Discovery Kids,,,,,
Bureau of Alien Detectors,1,13,US,1996,1996,UPN,,,,,
Busytown Mysteries,,5,Canada,2007,2010,CBC Kids,,,,,
Butt-Ugly Martians,1,26,"Britain, United States",2002,2003,Nickelodeon,,,,,
Butterbean's Café,2,60,"Ireland, United States",2018,2020,Nick Jr.,,,,,
Buzz Lightyear of Star Command,2,65,United States,2000,2001,Toon Disney,,,,,
C Bear and Jamal,2,13,US,1996,1997,Fox Kids,,,,,
C.L.Y.D.E.,1,26,Canada,1990,1991,Global,,,,,
C.O.P.S.,1,65,US,1988,1989,Syndication,,,,,
Cadillacs and Dinosaurs,1,13,"US, Canada",1993,1994,CBS,,,,,
Caillou,5,144,Canada,1997,2010,Teletoon,,,,,
Cake,4,33,United States,2019,Present,FXX,,,,,
Calabash Brothers,1,13,China,1987,1987,,,,,,
Calimero (2014),2,104,"France, Italy, Japan",2014,2016,TF1,Rai Yoyo,TV Tokyo,,,
Camp Candy,3,19,US,1989,1992,NBC,,,,,
Camp Furly,TBA,TBA,United Kingdom,2022,2022,TBA,,,,,
Camp Lakebottom,3,128,Canada,2013,2017,Teletoon,Disney XD,,,,
Camp Lazlo,5,61,United States,2005,2008,Cartoon Network,,,,,
Can You Teach My Alligator Manners?,,20,"United States, Canada, Britain",2008,2009,Playhouse Disney,,,,,
Canciones del Zoo La Serie,1,12,Argentina,2019,Present,YouTube,,,,,
"Canimals, Canimals: We Can Do It!",2,64,"South Korea, United Kingdom, Spain",2011,2018,EBS1,Disney XD,Clan,,,
Capitol Critters,1,13,US,1992,1992,ABC,,,,,
Captain Biceps,1,78,France,2010,2011,France 3,,,,,
Captain Flamingo,,52,"Canada, Philippines",2006,2010,YTV,GMA Network,,,,
Captain Flinn and the Pirate Dinosaurs,1,52,Australia,2015,2019,9Go!,,,,,
Captain N: The Game Master,3,34,US,1989,1991,NBC,,,,,
Captain Planet and the Planeteers,6,113,US,1990,1996,TBS,,,,,
Captain Simian & the Space Monkeys,1,26,US,1996,1997,Syndication,,,,,
Captain Star,2,13,"Canada, Spain, UK",1997,1998,Teletoon,,,,,
Captain Zed and the Zee Zone,1,26,UK,1991,1991,CITV,,,,,
Care Bears & Cousins,2,12,United States,2015,2016,Netflix,,,,,
Care Bears: Adventures in Care-a-lot,2,26,United States,2007,2008,CBS,,,,,
Care Bears: Unlock the Magic,1,49,United States,2019,2020,Boomerang,Cartoon Network,,,,
Care Bears: Welcome to Care-a-Lot,,27,"Canada, United States",2012,2012,The Hub,,,,,
Carl²,4,65,Canada,2005,2011,Teletoon,,,,,
Carland Cross,1,26,"Belgium, Canada, France",1996,1997,Canal+,Télétoon,TF1,,,
Carmen Sandiego,3,25,"Canada, United States",2019,2021,Netflix,,,,,
Carrossel,,26,Brazil,2016,2016,SBT,,,,,
Cars on the Road,1,9,United States,2022,2022,Disney+,,,,,
Cars Toons,2 Toon Series,15,United States,2008,2013,Disney Channel,,,,,
Cartoon Alley,,47,United States,2004,2007,Turner Classic Movies,,,,,
Cartoon Planet,3,146,US,1995,1998,Cartoon Network,,,,,
Cartoon Planet,3,146,US,2012,2014,Cartoon Network,,,,,
Cartoon Sushi,1,13,"US, Canada",1997,1998,MTV,,,,,
Casper's Scare School,2,52,"France, India, United States",2009,2012,Cartoon Network,,,,,
Castlevania,,32,United States,2017,2021,Netflix,,,,,
Catch! Teenieping,2,78,South Korea,2020,Present,KBS2 (season 1),JEI TV (season 2),,,,
CatDog,4,68,US,1998,2005,Nickelodeon,,,,,
Catscratch,1,20,United States,2005,2007,Nickelodeon,,,,,
Cave Kids,1,8,US,1996,1996,Syndication,,,,,
Ceasar and Chuy,,26,United States,2007,2008,LATV,,,,,
Cédric,3,52,France,2001,2001,Canal J,,,,,
Celebrity Deathmatch,6,93,"Canada, US",1998,2002,MTV,MTV2,,,,
Celebrity Deathmatch,6,93,"Canada, US",2006,2007,MTV,MTV2,,,,
